代茶饮,中药材,功效,适用人群,禁忌人群
玫瑰姜枣茶,龙眼、 山楂、 红枣、 玫瑰花、 生姜、 姜枣、 红糖,缓解痛经、 养生保健、 月经不调、 消除湿气、 经血淤积等症状、 痛经、 滋补气血、 暖胃驱寒,气血不足的女性、 要多天饮用的人、 容易痛经的人、 女性,气血不足的女性、 容易痛经的人、 容易痛经、 女性
红茶,,,,
绿茶,,,,
凤凰单纵,乌龙,,,
普洱茶,儿茶素、决明子、普洱、桂圆、桂圆干、红枣、茶多酚、菊花、金银花、黄酮类化合物,保健养生、健康、健胃消食、养心安神、养生效果、减肥、助消化、助消化的作用、抗炎作用、提神醒脑、提高免疫力、明目清肝、消脂减肥、清热解毒、滋补强壮、益气养血、血糖、补气养血、解油腻、解酒化油、防癌、降低胆固醇、降低血压、降脂减肥、降血脂,中年发福的男性、人们、工作繁忙、生活压力大的男性、男性,工作繁忙、生活压力大的男性、男性
栀子水,栀子、 红枣,促进肺部痰液的排出、 利尿消肿作用、 养肺、 促进消化酶的分泌、 清热解毒作用、 降火作用、 解毒功能、 调节作用、 改善食欲不振、 养生功效、 降低火气、 保肝、 增强消化功能、 保健作用,肝火旺盛、 经常饮酒、 抽烟的人群、 容易上火的人群、 脾胃虚弱、 肝火旺盛、容易上火的人群、 容易腹泻的人群,肝火旺盛、 经常饮酒、 抽烟的人群、 容易上火的人群、 脾胃虚弱、 肝火旺盛、容易上火的人群、 容易腹泻的人群
红茶,,滋味鲜爽,,
茉莉花茶,,滋味鲜爽,,
桂花茶,桂花、 茉莉花,,,
玫瑰花茶,桂花,,,
菊花茶,桃花、菊花、萝卜,安神清心、提神醒脑、清热解暑、理气解郁、生津止渴、疏散风邪、美容养颜、补充水分、补充营养元素、防晒黑,体质虚寒容易痛经的人、动不动感到累的人、怕晒黑想要美容养颜的人、想要美容养颜的人、胃不好的人,体质虚寒容易痛经的人、怕晒黑想要美容养颜的人、想要美容养颜的人、胃不好的人
碧螺春,龙井,热解暑、生津止渴,,
黄山毛峰,龙井、 碧螺春,,,
六安瓜片,碧螺春,,,
太平猴魁,太平猴魁,消炎、 抗病毒、 滋阴养胃、 抗菌、 润肺止咳,皮肤干燥等症状、 夏季常见疾病,
大红袍,观音、 大红袍,,观音,
凤凰单丛,凤凰单丛、 观音、 大红袍,,凤凰单丛、 观音、 大红袍,
台湾高山茶,凤凰单丛,帮助消化、 降脂减肥、 温阳散寒、 增强抵抗力、 暖胃健脾、 抵抗寒冷,,
祁门红茶,金骏眉、 正山小种、 川红、 滇红,助消化、 降脂减肥,降脂减肥,
红枣桂圆茶,桂圆、 红枣,,,
菊花枸杞茶,菊花、 桂圆、 红枣、 枸杞,,,
老白茶,,,,
玫瑰花茶,抗氧化剂、枸杞、玫瑰花、类黄酮、花青素,促进胃液分泌、健脾消食、养心安神、减缓衰老、可以帮助缓解压力、喝普洱茶能够帮助改善症状、增强身体的活力、对于消化不良的人来说、延缓衰老过程、抑郁等负面情绪、抗氧化作用、抗疲劳能力、抵抗自由基对人体的伤害、排毒降火、提升情绪、提高身体的耐力、润肺止咳、清热利咽、清除体内的自由基、焦虑、缓解压力、缓解胃部不适、胃痛、胃胀等、舒缓神经的效果、镇静、降低血糖、降脂减肥、预防心血管疾病,如胃痛、想要减肥的人、消化不良的人、糖尿病患者、胃痛、胃胀、胃部不适,消化不良的人、糖尿病患者
绿茶,绿茶,对心脏最好,心脏,
红茶,,心脏最好,心脏,
虫草花茶,虫草花,,,
洋参玫瑰茶,洋参、 虫草花,滋补作用、 降低胆固醇、 降低血压、 调节心血、 减轻动脉粥样硬化、 温养心肝血脉、 改善动脉硬化、 扩张心血管、 防治心脏病有一定帮助、 提高血管舒张度,心血管疾病、 心脏,
龙井茶,玫瑰、 黄山毛峰、 虫草花,缓解压力、 抗炎、 降低血脂、 抗过敏、 舒缓作用、 胆固醇、 焦虑、 镇静、 抗氧化作用、 减缓细胞的衰老过程、 降低血压、 清除体内的自由基、 心脏健康、 提高心血管健康、 抗凝、 护心效果、 减轻心脏负担,心脏健康,
凉茶,,香气物质,,
绿茶,,口味较为鲜爽、 亲热化痰、 滞寒聚痰、 利水通便,绝大多数人,绝大多数人
锁阳茶,山药、 沙苑子,固精、 性功能障碍、 养肝明目、 补肾、 补肾壮阳、 腿脚乏力,性功能障碍等、 缓解阳虚所致腰膝酸软、 男性、 阳虚所致腰膝酸软、 腿脚乏力,男性
杜仲茶,杜仲,明显的效果、 缓解肾虚肾亏,男性,男性
过夜的茶水第二天能喝吗、不建议饮用(隔夜茶水容易变质),茶叶,促进排尿、利尿、消肿、维生素、营养价值、营养成分、调节免疫,痛风人群、痛风患者、食物中毒,痛风人群、痛风患者、食物中毒
冰红茶,,,,
冰绿茶,冰红、 冰绿,,,
茉莉花茶,,促进尿酸升高,痛风人群,痛风人群
白茶,,,,
乌龙茶,,,,
柚子茶,乌龙、 柚子,,,
金银花茶,乌龙、柚子、菊花、金银花,刺激肾脏的排泄、消暑解渴、清热解毒、滋阴润肺、生津止渴,上火、不想上火、呼吸道干燥,
铁观音,铁观音、 乌龙,,铁观音,
肉桂茶,肉桂,,,
水仙茶,水仙、 肉桂、 柚子,清热解毒、 生津止渴、 改善消化、 缓解秋燥、 调节肠胃功能、 润肺止咳,上火、 咳嗽、 流感、 喉咙疼痛、 感冒、 疾病,
祛湿茶,,改善身体状况、 辅助去湿气、 去湿气,人体,
苓桂术甘汤,桂术,利水渗湿、 升阳祛湿、 芳香化湿、 理气祛湿、 健脾祛湿,湿热病证、 湿气过重,湿热病证、 湿气过重
绿茶,,不容易上火,,
白茶,,不容易上火,,
薄荷茶,薄荷油、 薄荷,清热解毒、 解热镇痛、 清凉退热,头痛、 皮肤炎症、 上火、 痘痘等上火症状,
美白养生茶怎么搭配、美容美白的养生茶配方,玫瑰、 菊花、 金银花、 桂圆、 枸杞、 柠檬,补气血、 内分泌、 淡痘印、 下火祛痘、 调理气血、 美白养颜、 活血化淤、 红润肌肤、 调经止痛、 消炎镇静、 养肝生津安神、 美容养颜、 改善睡眠质量、 改善起色、 清肝火降血压,在瘦身的朋友们、 痘痘、 睡眠不好、 体燥热的人,在瘦身的朋友们、 痘痘、 睡眠不好、 体燥热的人
白茶,,,,
姜茶,,,,
茉莉花茶,,缓解疲劳、 消炎杀菌、 清热解暑,,
苦丁茶,苦丁、 枸杞、 苦丁皂甙,降压、 清热解毒、 生津止渴、 利尿强心、 降压减肥、 润喉止咳、 清热消暑、 延缓衰老,虚寒体质和慢性胃肠炎的人群、 风寒感冒的人、 容易上火的人群、 脾胃虚弱的人群、 体内火气旺盛的人、 女性、 慢性胃肠炎的人群,虚寒体质和慢性胃肠炎的人群、 风寒感冒的人、 容易上火的人群、 脾胃虚弱的人群、 月经期、 体内火气旺盛的人、 女性、 慢性胃肠炎的人群
喝茶会便秘吗、适量饮茶不会便秘,茶多酚,维护肠道生态平衡、 抑制大肠杆菌、肠球菌等肠道有害菌的生长、 改善肠道环境、 促进消化、 预防便秘。茶叶中的茶多酚对维护肠道生态平衡、 刺激性、 改善肠道健康,消化不良、 便秘人群,便秘人群
青钱柳茶,青钱柳酸、 西洋参、 青钱柳,抗动脉硬化、 健胃、 激活胰岛器官、 降压、 双向调节血糖的作用、 降低过高的血糖水平、 增强免疫力、 抗炎、 降气宽肠、 降脂、 抗氧化、 解血糖升高的作用、 保护心血管系统、 降血糖作用、 抗肿瘤、 调节血糖,,
杜仲茶,杜仲醇、 杜仲苷,抗氧化等作用、 控制血糖、 降低胆固醇、 增强患者自身毛细血管的抵抗力、 降低血糖、 降血糖作用、 辅助降糖、 血脂,糖尿病,
桑叶茶可以天天喝吗、不建议每天饮用,桑叶、 维生素,失眠、 清热解毒、 烦躁、 增强消化效率、 促进肠胃蠕动、 减肥、 降压减肥、 清热下火、 胃酸分泌、 降血脂、 柔软性、 降血压、 精神恍惚等情况、 维持血管壁的正常弹性,失眠、 男性、 烦躁、 体热群体、 女性、 精神恍惚等情况,男性、 上火、 体热群体、 女性
红茶,茶多酚、 茶叶、 白糖,增加肠胃蠕动、 保护肠胃粘膜、 养胃暖胃、 促进消化、 去除油腻、 改善肠胃溃疡和炎症、 帮助减肥、 补充身体所需要的水分,胃不好的人、 胃不好,胃不好的人、 胃不好
红茶,,愉悦心情、 缓解压力、 生津解渴、 降三高、 促进人体血液循环、 改善睡眠质量、 安神助眠、 润肠通便、 消食解腻、 养胃促消、 养胃护胃、 提神醒脑、 暖胃驱寒,积食的时候、 焦虑压力大的时候、 晚上19.30-20.30、 自身肠胃功能不好的人,自身肠胃功能不好的人
红茶,儿茶素,风味、 舒顺喉韵、 滋润口腔、 缓解过敏、 抗衰老,人体,
大麦茶适合什么季节喝、一年四季都可以喝大麦茶,大麦,促进肠道蠕动、利尿解热、助消化、助消化的作用、去油腻、增加活力、增强食欲、帮助消化、改善皮肤、改善肠胃、暖胃健脾、活血、活血作用、消暑解渴、消食通便、清凉退热、清热解暑、清热解毒、滋阴润肺的作用、生津健胃、缓解干燥、缓解油腻、调节肠胃功能、迅速补充人体所需的水分、还可以帮助消化、阴润肺、预防便秘,人们、大多数人群、女性、孕妇、脾胃虚弱的人,大多数人群、女性、孕妇、脾胃虚弱的人
栀子茶,栀子,活血化瘀作用、 子宫收缩作用,孕妇、 脾胃虚寒的人、 经期妇女、 脾胃虚寒者,孕妇、 脾胃虚寒的人、 经期妇女、 脾胃虚寒者
,蜂蜡、 蜂胶、 蜂房油,营养物质的吸收利用、 改善体虚早衰具有显著效果、 消化等功能尚未发育完全、若是服用富含生长激素、 饱腹感、 营养物质、 养生保健效果、 增添饱腹感,婴幼儿、 孕妇、 肠胃不适、 患有肿瘤的群体、 过敏群体、 对蜂胶过敏的群体、 服药群体,婴幼儿、 孕妇、 肠胃不适、 患有肿瘤的群体、 过敏群体、 4类人、 对蜂胶过敏的群体、 服药群体
